 written on  7Sep2026 at 16:15:10 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
         585
    1    1    2    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    2    1    1

  -15    7    0
    1    1   -0.13479899E-08  0.35246112E-13
    2    1   -0.84549234E-09  0.21841903E-13
    3    1   -0.52442165E-09  0.16570946E-13
    4    1    0.17584293E-13 -0.42660607E-14
    5    1   -0.35004046E-14 -0.17138117E-13
    1    2    0.11036266E-08 -0.59448974E-14
    2    2   -0.95521597E-09  0.25153490E-14
    3    2   -0.60414995E-10 -0.13548190E-13
    4    2   -0.19418943E-13  0.88615629E-14
    5    2   -0.30438177E-13  0.29404607E-13
    1    3    0.14527358E-08  0.16318544E-13
    2    3   -0.12869719E-08 -0.30494704E-13
    3    3   -0.14849300E-08 -0.29733160E-13
    4    3   -0.53186577E-13 -0.10625486E-14
    5    3   -0.74581151E-14 -0.97868322E-14
    1    4    0.58680953E-13  0.21664377E-13
    2    4   -0.11292432E-12 -0.70289947E-14
    3    4    0.76080494E-13  0.24451589E-13
    4    4    0.19098772E-04  0.46956362E-13
    5    4   -0.36721587E-04  0.68627395E-13
    1    5    0.16393503E-13 -0.33262702E-13
    2    5    0.40394618E-13 -0.66101949E-13
    3    5   -0.61621628E-13 -0.67164515E-13
    4    5   -0.37149185E-04  0.43090531E-13
    5    5    0.19098773E-04 -0.35668950E-13

  -15    8    0
    1    1   -0.13447302E-08  0.33036074E-13
    2    1   -0.52440125E-09  0.51994867E-13
    3    1   -0.84637175E-09  0.41234377E-14
    4    1    0.11942571E-12  0.63821206E-13
    5    1   -0.35634673E-13  0.30775827E-13
    1    2    0.14520781E-08 -0.10087417E-13
    2    2   -0.14850510E-08 -0.14502288E-14
    3    2   -0.12870030E-08 -0.31665642E-13
    4    2    0.57754033E-13  0.12461660E-13
    5    2   -0.20435113E-13 -0.29094703E-13
    1    3    0.10969552E-08 -0.17749691E-13
    2    3   -0.61112216E-10  0.10668549E-14
    3    3   -0.95198160E-09 -0.49071858E-13
    4    3    0.71739647E-13 -0.16790702E-13
    5    3   -0.50231760E-13  0.28398130E-13
    1    4    0.84042179E-13  0.89640590E-13
    2    4    0.50271136E-13  0.51727093E-13
    3    4    0.75714789E-14  0.10533650E-12
    4    4    0.19098771E-04 -0.71253767E-14
    5    4    0.15910298E-04 -0.43425333E-13
    1    5    0.42173100E-14 -0.51466819E-14
    2    5    0.17205172E-13 -0.26438543E-13
    3    5   -0.84576828E-13 -0.31577420E-13
    4    5    0.36544128E-05  0.71709999E-13
    5    5    0.19098771E-04 -0.43003795E-14

  -15    9    0
    1    1    0.17958767E-08  0.92079122E-14
    2    1    0.22084576E-09  0.34122011E-13
    3    1   -0.60987900E-10 -0.72546136E-14
    4    1    0.90422788E-15  0.40929479E-13
