 written on  4Sep2026 at 06:46:05 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
         637
    1    2    1    1    1    1    2    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    2    1    1    1    1    2    1

  -16    8    0
    1    1    0.15830254E-08 -0.11587953E-14
    2    1   -0.11319255E-08  0.32508718E-13
    3    1   -0.11319110E-08  0.11667750E-13
    4    1   -0.15829771E-12  0.24193602E-13
    5    1    0.14972225E-13 -0.10428074E-12
    1    2    0.77550516E-10 -0.48971244E-14
    2    2    0.13810728E-08  0.82087115E-14
    3    2   -0.17009113E-08 -0.12494346E-13
    4    2   -0.18708867E-12 -0.46755191E-12
    5    2   -0.77549471E-13  0.20729203E-12
    1    3    0.77513431E-10 -0.10685897E-13
    2    3   -0.17009603E-08  0.20677904E-14
    3    3    0.13810719E-08 -0.11757956E-13
    4    3    0.15022255E-12 -0.28213307E-12
    5    3   -0.22428762E-12  0.56819087E-13
    1    4    0.17989327E-12 -0.37037918E-15
    2    4   -0.20622098E-12 -0.16200992E-12
    3    4   -0.14119659E-12  0.17470424E-12
    4    4    0.10920756E-04  0.52991509E-12
    5    4    0.79998712E-05 -0.15317470E-11
    1    5    0.67753082E-13  0.12058877E-12
    2    5    0.18673795E-12  0.38123623E-12
    3    5    0.34863381E-12 -0.38686801E-12
    4    5    0.87712890E-05  0.98125327E-12
    5    5    0.10920756E-04  0.11435926E-11

  -16    9    0
    1    1   -0.10842384E-08 -0.56378513E-14
    2    1    0.35627267E-09 -0.16965596E-13
    3    1   -0.17014506E-08 -0.16715795E-13
    4    1    0.95225326E-13  0.37912485E-12
    5    1    0.21664477E-12 -0.17798221E-12
    1    2    0.35631884E-09  0.13327880E-13
    2    2   -0.10842101E-08  0.10096091E-14
    3    2   -0.17014041E-08 -0.59882654E-14
    4    2   -0.73716778E-13 -0.14515112E-12
    5    2   -0.34989599E-13  0.32413803E-12
    1    3    0.78800375E-09 -0.11258355E-13
    2    3    0.78802834E-09 -0.15487611E-13
    3    3   -0.11952760E-08 -0.91558705E-14
    4    3   -0.63606196E-13  0.17294434E-12
    5    3   -0.39760961E-12  0.81097368E-13
    1    4    0.12784048E-12 -0.13993084E-12
    2    4   -0.17724331E-12 -0.74839084E-13
    3    4   -0.23528928E-12  0.15582608E-12
    4    4   -0.33134693E-04 -0.24103497E-11
    5    4    0.79998708E-05  0.65270532E-12
    1    5    0.10945382E-13 -0.30134839E-12
    2    5    0.96090715E-13 -0.19822429E-12
    3    5   -0.29101047E-12  0.24293427E-12
    4    5    0.13930880E-04  0.19897070E-11
    5    5   -0.33134694E-04 -0.25638883E-11

  -15    6    0
    1    1    0.23208163E-08 -0.23904489E-14
    2    1    0.78809331E-09 -0.18990885E-13
    3    1   -0.13349265E-08  0.13719928E-13
    4    1    0.83584187E-13 -0.19909787E-12
    5    1   -0.19477436E-12  0.13963422E-12
    1    2   -0.39774617E-09 -0.12828280E-14
    2    2    0.64082776E-09 -0.12028573E-13
    3    2    0.10074022E-08  0.41494586E-14
    4    2   -0.69290624E-13  0.58889281E-13
