 written on  4Sep2026 at 06:45:40 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
         741
    1    1    2    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    2    1    1

  -17    8    0
    1    1    0.12754912E-08  0.84810631E-14
    2    1    0.32646869E-09 -0.19746357E-13
    3    1   -0.10510741E-09  0.83552956E-14
    4    1   -0.61933283E-12  0.43470064E-11
    5    1    0.34228425E-11 -0.39507976E-11
    1    2   -0.13022998E-09  0.22952126E-13
    2    2    0.51117450E-09 -0.37157777E-14
    3    2   -0.15084282E-08 -0.62970462E-14
    4    2   -0.15889565E-11 -0.14269692E-10
    5    2    0.38673842E-12  0.11657393E-10
    1    3    0.44197986E-09 -0.13910748E-13
    2    3   -0.14651259E-08 -0.11622647E-14
    3    3    0.21660270E-08 -0.18740218E-13
    4    3   -0.69713397E-11 -0.17351881E-10
    5    3   -0.29432080E-11  0.12081355E-10
    1    4   -0.47269748E-11  0.11406133E-10
    2    4   -0.47747723E-11 -0.18850958E-11
    3    4    0.51967959E-12  0.11694261E-12
    4    4    0.92126009E-06  0.15618652E-11
    5    4   -0.12362992E-04  0.12332670E-11
    1    5    0.86414818E-11 -0.17962305E-10
    2    5    0.25439578E-11 -0.37813104E-11
    3    5    0.35278136E-11  0.21705273E-11
    4    5    0.28176485E-05 -0.33947879E-11
    5    5    0.92126017E-06  0.17143166E-11

  -17    9    0
    1    1    0.12754238E-08 -0.22901819E-13
    2    1   -0.10520809E-09 -0.19741153E-14
    3    1    0.32645719E-09  0.97344008E-14
    4    1    0.79251397E-12 -0.10818590E-10
    5    1   -0.27907929E-11  0.89701490E-12
    1    2    0.44235078E-09 -0.31467884E-14
    2    2    0.21661692E-08  0.38302694E-14
    3    2   -0.14651089E-08  0.24267914E-13
    4    2   -0.55343048E-11  0.11606805E-10
    5    2    0.41487131E-11 -0.27744854E-13
    1    3   -0.13024423E-09  0.15751289E-14
    2    3   -0.15086609E-08 -0.15314139E-13
    3    3    0.51119148E-09  0.23207131E-13
    4    3    0.43511295E-11  0.43611908E-11
    5    3    0.35154167E-11  0.98219821E-11
    1    4   -0.96078658E-11 -0.64977658E-11
    2    4   -0.95298761E-11  0.50024134E-11
    3    4   -0.27485657E-11 -0.96425651E-11
    4    4    0.92125948E-06 -0.22700722E-12
    5    4    0.21256006E-05 -0.21460316E-11
    1    5   -0.10416626E-10  0.98635859E-11
    2    5   -0.26749485E-11 -0.78284985E-11
    3    5    0.19040462E-12  0.48596367E-11
    4    5   -0.15186042E-05  0.34782923E-11
    5    5    0.92125983E-06 -0.40210803E-12

  -17   10    0
    1    1   -0.24575968E-08  0.48086535E-14
    2    1    0.27515135E-08  0.60732669E-14
    3    1   -0.15085422E-08 -0.63369449E-14
    4    1   -0.34706952E-11  0.40769342E-11
    5    1   -0.11591510E-11  0.81945160E-11
    1    2    0.27515008E-08  0.81419246E-14
    2    2   -0.24575554E-08 -0.43368087E-15
    3    2   -0.15085377E-08  0.89208155E-14
    4    2    0.14132318E-11  0.34519965E-11
    5    2    0.45237487E-11 -0.68742171E-11
    1    3   -0.40395948E-10 -0.40956821E-14
    2    3   -0.40335503E-10 -0.37260993E-13
    3    3    0.10684849E-08 -0.22790797E-13
    4    3   -0.89417069E-11  0.13952634E-10
    5    3    0.17976344E-11 -0.15595880E-10
    1    4    0.18369756E-10  0.12592012E-10
    2    4    0.14371970E-10  0.41744566E-11
    3    4   -0.21624828E-12  0.10284311E-10
    4    4    0.84767057E-05 -0.39980545E-11
    5    4   -0.12362995E-04  0.36190322E-11
    1    5   -0.13707981E-10 -0.61048380E-11
    2    5   -0.95868281E-11  0.84963612E-11
    3    5   -0.35281523E-11 -0.21302324E-10
    4    5   -0.28342733E-05  0.10463644E-11
    5    5    0.84767057E-05 -0.43580543E-11

  -16    6    0
    1    1   -0.61882081E-09  0.12361639E-13
    2    1   -0.40321042E-10  0.19594569E-13
    3    1   -0.68949678E-10  0.46551304E-14
    4    1   -0.24679238E-11 -0.70706801E-11
    5    1   -0.14884522E-11  0.94212923E-12
    1    2    0.47763047E-09 -0.79146759E-14
    2    2   -0.11582281E-08  0.48901855E-14
    3    2    0.55933552E-10  0.68521577E-15
    4    2   -0.53511186E-11 -0.34567910E-11
    5    2   -0.63410757E-11  0.36373608E-11
    1    3   -0.10919758E-08 -0.76388548E-14
    2    3    0.79679933E-09  0.62276573E-14
    3    3   -0.31935026E-09 -0.18948385E-13
    4    3   -0.50315738E-11  0.63192497E-11
    5    3   -0.23310625E-11 -0.41505364E-11
    1    4   -0.20242641E-10 -0.11308338E-11
    2    4   -0.95798341E-11 -0.32980918E-11
    3    4    0.59658960E-11 -0.79822079E-11
    4    4   -0.30087090E-05  0.14312332E-11
    5    4    0.32580506E-05 -0.12059624E-11
    1    5    0.23839019E-10  0.69360588E-11
    2    5    0.13127422E-10 -0.72306693E-11
    3    5    0.10623488E-10  0.30671141E-11
    4    5    0.71217985E-05 -0.18029987E-11
    5    5   -0.30087099E-05  0.15872416E-11

  -16    7    0
    1    1   -0.20227672E-08  0.12490009E-15
    2    1   -0.13023356E-09  0.11487339E-13
    3    1    0.27512189E-08  0.18046328E-13
    4    1    0.78484664E-11  0.11630357E-10
    5    1   -0.50409332E-11 -0.21406940E-11
    1    2   -0.47787478E-09 -0.13201246E-14
    2    2   -0.49398469E-09  0.20566882E-13
    3    2    0.79687476E-09 -0.60238273E-14
    4    2   -0.75776525E-11  0.20234134E-10
    5    2    0.11901518E-10 -0.10892691E-10
    1    3   -0.59610637E-09 -0.20513105E-13
    2    3   -0.60395529E-09 -0.33172250E-13
    3    3   -0.25381018E-08 -0.14412083E-13
    4    3    0.39189347E-11  0.16955021E-10
    5    3    0.51911655E-11 -0.11930700E-10
    1    4    0.79977560E-11 -0.13943872E-10
    2    4   -0.36715864E-11  0.36943960E-11
    3    4   -0.10352889E-10 -0.43576050E-11
    4    4   -0.78823421E-05 -0.12857640E-12
    5    4    0.22755996E-05  0.16109353E-11
    1    5   -0.34168307E-10  0.18425498E-11
    2    5   -0.18761703E-10 -0.71593453E-12
    3    5   -0.11156608E-11  0.28740784E-11
    4    5   -0.26391485E-06 -0.34909228E-12
    5    5   -0.78823423E-05 -0.22610256E-12

  -16    8    0
    1    1   -0.59479863E-09  0.71609385E-14
    2    1    0.44221188E-09 -0.23505503E-14
    3    1    0.44186957E-09 -0.82451407E-14
    4    1   -0.14858048E-10 -0.25075940E-11
    5    1    0.81819318E-11 -0.83835176E-12
    1    2   -0.19110985E-09  0.33975427E-13
    2    2   -0.78503608E-09  0.12250617E-13
    3    2   -0.60389676E-09  0.29442594E-13
    4    2    0.18644243E-10  0.45794855E-11
    5    2   -0.74218717E-12 -0.31635172E-12
    1    3   -0.19165797E-09 -0.36403172E-14
    2    3   -0.60342899E-09  0.16141602E-14
    3    3   -0.78471635E-09 -0.13478801E-13
    4    3    0.66922978E-11  0.39533837E-11
    5    3    0.25297636E-11 -0.29998321E-12
    1    4    0.82194323E-11  0.25426320E-10
    2    4    0.21235414E-10  0.78406063E-11
    3    4    0.40902293E-11  0.57716596E-11
    4    4   -0.23339891E-05  0.47149745E-11
    5    4    0.86448049E-05 -0.29249519E-11
    1    5    0.22063296E-10 -0.11934433E-10
    2    5   -0.14669824E-10 -0.34381526E-11
    3    5   -0.83589788E-11 -0.96743088E-11
    4    5   -0.26390453E-06 -0.29499216E-11
    5    5   -0.23339893E-05  0.43955430E-11

  -16    9    0
    1    1   -0.20231132E-08 -0.86285146E-14
    2    1    0.27515484E-08 -0.83110602E-14
    3    1   -0.13022816E-09  0.23921837E-14
    4    1    0.15809863E-10 -0.32930788E-11
    5    1    0.28120147E-11  0.87302330E-11
    1    2   -0.59601599E-09  0.29030597E-13
    2    2   -0.25395272E-08  0.59292848E-14
    3    2   -0.60348706E-09  0.40713960E-14
    4    2    0.10411201E-10  0.14213362E-11
    5    2   -0.13115617E-10 -0.12149131E-10
    1    3   -0.47698968E-09  0.12373783E-13
    2    3    0.80012773E-09 -0.63976602E-14
    3    3   -0.49588760E-09  0.77264584E-14
    4    3    0.15325451E-10 -0.11388910E-10
    5    3   -0.15916624E-10  0.13687146E-11
    1    4    0.15119124E-11 -0.23012031E-10
    2    4    0.19755940E-11 -0.43172772E-11
    3    4    0.13104895E-10 -0.43144710E-11
    4    4   -0.78823413E-05 -0.12902917E-12
    5    4    0.86448068E-05 -0.28181416E-11
    1    5   -0.64353120E-11  0.30566262E-10
    2    5    0.17912553E-10  0.20296062E-10
    3    5   -0.15290297E-10  0.14999319E-10
    4    5    0.71217848E-05  0.17441534E-11
    5    5   -0.78823418E-05 -0.61308727E-12

  -16   10    0
    1    1   -0.61953705E-09 -0.43819115E-14
    2    1   -0.68710066E-10 -0.19029917E-13
    3    1   -0.40385535E-10 -0.48390111E-14
    4    1    0.74607309E-12  0.13200365E-10
    5    1   -0.93369529E-11 -0.15310430E-10
    1    2   -0.10926060E-08  0.41327185E-13
    2    2   -0.32552237E-09  0.20483615E-13
    3    2    0.80006913E-09  0.57896396E-14
    4    2   -0.16368932E-10 -0.23753245E-10
    5    2    0.21041410E-11  0.70765067E-11
    1    3    0.48104266E-09  0.18211994E-13
    2    3    0.71992193E-10 -0.10058794E-13
    3    3   -0.11665270E-08 -0.16146806E-13
    4    3   -0.15432026E-10  0.14860538E-11
    5    3    0.13926983E-11 -0.12013840E-10
    1    4    0.30819323E-12 -0.36454660E-11
    2    4   -0.11065001E-10 -0.20255274E-10
    3    4    0.11739390E-10  0.85265842E-11
    4    4   -0.30087020E-05 -0.38978976E-12
    5    4    0.22755883E-05  0.32856235E-11
    1    5    0.12970410E-10 -0.20427865E-10
    2    5    0.11332895E-10  0.16522814E-11
    3    5    0.13463426E-10 -0.56614934E-11
    4    5   -0.12859388E-05 -0.21648169E-11
    5    5   -0.30087018E-05 -0.51513004E-12

  -16   11    0
    1    1   -0.61138651E-09 -0.34670183E-13
    2    1   -0.84854536E-09  0.17444379E-13
    3    1    0.71979553E-10 -0.38424125E-15
    4    1   -0.70251107E-11 -0.17418432E-10
    5    1    0.42469409E-11  0.13178892E-11
    1    2   -0.84855811E-09  0.95834798E-14
    2    2   -0.61136306E-09  0.10248746E-13
    3    2    0.71936805E-10  0.29359327E-13
    4    2    0.15077939E-10  0.13180134E-10
    5    2   -0.22128468E-11  0.70565088E-11
    1    3    0.96393714E-09  0.49934015E-14
    2    3    0.96389580E-09  0.18283985E-14
    3    3    0.89708269E-09  0.11182028E-13
    4    3    0.13041487E-10 -0.14841067E-10
    5    3    0.14286241E-11  0.19516267E-10
    1    4   -0.21657308E-10  0.54435669E-11
    2    4   -0.18168529E-11  0.68429647E-11
    3    4   -0.24989259E-10 -0.14379584E-10
    4    4   -0.22561789E-06  0.38976608E-11
    5    4    0.32580591E-05 -0.27388335E-11
    1    5    0.23952231E-11 -0.47290122E-11
    2    5   -0.10250862E-10 -0.13712217E-10
    3    5    0.12292282E-10  0.13802642E-10
    4    5    0.64044538E-05 -0.22031214E-11
    5    5   -0.22561781E-06  0.36255174E-11

  -15    4    0
    1    1   -0.79831239E-10  0.15192708E-13
    2    1    0.10017048E-08  0.70698655E-14
    3    1   -0.16002248E-08 -0.97430744E-14
    4    1    0.10487928E-10  0.44517154E-11
    5    1    0.67786940E-11 -0.75328667E-11
    1    2    0.41096958E-09 -0.13968861E-13
    2    2   -0.42539063E-10 -0.10729265E-13
    3    2   -0.14810205E-08 -0.19518675E-13
    4    2   -0.11548655E-10  0.11714042E-10
    5    2    0.41823851E-11 -0.39091827E-11
    1    3    0.28216878E-08 -0.40063439E-14
    2    3   -0.19002205E-09  0.48225313E-15
    3    3   -0.74103342E-09 -0.17560606E-13
    4    3   -0.10416273E-10  0.91051610E-11
    5    3    0.17071498E-11 -0.19650043E-10
    1    4   -0.88549160E-11 -0.15245359E-10
    2    4   -0.42880533E-11  0.17867050E-11
    3    4   -0.43251206E-12  0.29900379E-11
    4    4   -0.15064943E-05 -0.11075067E-11
    5    4    0.10396945E-04 -0.14279437E-11
    1    5   -0.13912865E-10  0.23830376E-10
    2    5    0.47138018E-11 -0.71044996E-11
    3    5    0.19113746E-10  0.64244094E-11
    4    5   -0.58301735E-05  0.38098934E-11
    5    5   -0.15064952E-05 -0.16707475E-11

  -15    5    0
    1    1    0.18108606E-08  0.16851104E-13
    2    1    0.47789589E-09  0.31796614E-13
    3    1   -0.84147416E-09  0.50705967E-14
    4    1   -0.12253328E-10  0.38305796E-11
    5    1   -0.71721294E-11 -0.47666171E-11
    1    2    0.11538064E-09  0.67211861E-14
    2    2   -0.63873352E-09  0.25581967E-13
    3    2   -0.19081564E-09 -0.21900884E-13
    4    2   -0.82344818E-12 -0.20444280E-11
    5    2    0.48740599E-11  0.37743130E-11
    1    3   -0.15853276E-09  0.81757517E-14
    2    3    0.79567508E-09  0.38772804E-13
    3    3    0.18899689E-08 -0.26475350E-13
    4    3    0.12896514E-10  0.22060571E-11
    5    3    0.44043745E-11  0.10064066E-10
    1    4    0.13035147E-10  0.14371916E-10
    2    4    0.36082045E-11  0.49403629E-11
    3    4   -0.14015125E-10 -0.71175211E-11
    4    4    0.41098961E-05 -0.44781969E-11
    5    4   -0.25579639E-05  0.35552741E-11
    1    5   -0.10661967E-10 -0.34584735E-10
    2    5   -0.28742676E-10 -0.11014239E-10
    3    5   -0.57364492E-11 -0.17916445E-10
    4    5   -0.60749223E-07  0.35312933E-11
    5    5    0.41098954E-05 -0.43663844E-11

  -15    6    0
    1    1    0.30088251E-08 -0.13419821E-13
    2    1   -0.47763681E-09  0.80916177E-14
    3    1   -0.10920005E-08 -0.90587260E-14
    4    1   -0.31804872E-11 -0.20682872E-10
    5    1    0.17440946E-10  0.18495602E-10
    1    2   -0.13288909E-08 -0.42934406E-15
    2    2    0.62685458E-09  0.39340059E-13
    3    2    0.79583240E-09 -0.45095004E-13
    4    2    0.24477913E-10 -0.92820372E-11
    5    2   -0.56845479E-11  0.12114178E-10
    1    3   -0.40462804E-09  0.15026175E-13
    2    3    0.99331288E-09  0.12806596E-13
    3    3    0.62838322E-09 -0.30621339E-13
    4    3    0.85486960E-11 -0.24833932E-10
    5    3   -0.72248875E-11  0.11640651E-10
    1    4   -0.10904117E-10  0.11420992E-10
    2    4    0.11278118E-10  0.11484017E-10
    3    4   -0.13392642E-11  0.17426364E-10
    4    4    0.45194789E-05  0.10230046E-11
    5    4   -0.25371005E-05 -0.74084835E-12
    1    5    0.54407817E-11  0.21623805E-10
    2    5   -0.27088329E-11  0.67169612E-11
    3    5   -0.14597982E-10 -0.11528047E-10
    4    5   -0.13170698E-04 -0.55851504E-12
    5    5    0.45194791E-05  0.96852474E-12

  -15    7    0
    1    1   -0.89266278E-09  0.17812141E-13
    2    1   -0.19113782E-09 -0.99789968E-14
    3    1   -0.59634646E-09 -0.18126993E-13
    4    1    0.24632737E-10  0.35093519E-10
    5    1   -0.19097757E-10 -0.19655922E-10
    1    2    0.63918559E-09  0.22008437E-13
    2    2   -0.15465078E-08  0.17836427E-13
    3    2    0.99400141E-09 -0.53654997E-14
    4    2   -0.13800664E-10 -0.39015431E-11
    5    2   -0.55740986E-11 -0.13034949E-10
    1    3    0.70802352E-09  0.19882533E-13
    2    3   -0.82866419E-09 -0.27567358E-13
    3    3    0.91693335E-09 -0.29174579E-13
    4    3   -0.10591171E-10  0.12917107E-10
    5    3   -0.94804456E-11 -0.10773393E-10
    1    4    0.29471738E-10 -0.27187233E-10
    2    4   -0.17342219E-11 -0.18227794E-10
    3    4    0.11665176E-10 -0.61105609E-11
    4    4    0.94057284E-05 -0.21853738E-11
    5    4   -0.29935706E-05  0.49478997E-12
    1    5   -0.85804270E-11  0.89495946E-11
    2    5    0.33867968E-10  0.20735163E-10
    3    5    0.34199388E-11  0.14608153E-10
    4    5    0.46496993E-05  0.53985236E-11
    5    5    0.94057290E-05 -0.25633120E-11

  -15    8    0
    1    1   -0.89105513E-09 -0.11518564E-14
    2    1   -0.59627809E-09 -0.36620880E-13
    3    1   -0.19172621E-09  0.39924661E-14
    4    1   -0.17539636E-10 -0.15548760E-10
    5    1    0.37859843E-11 -0.15141673E-10
    1    2    0.70774397E-09  0.93640373E-14
    2    2    0.91650658E-09 -0.97248598E-14
    3    2   -0.82869692E-09  0.11835151E-13
    4    2    0.62410515E-12 -0.23226917E-10
    5    2   -0.10401055E-10  0.92518161E-11
    1    3    0.63621456E-09  0.27558685E-13
    2    3    0.99450941E-09  0.12264495E-13
    3    3   -0.15454109E-08  0.45033421E-14
    4    3   -0.12057081E-10 -0.18422738E-10
    5    3    0.65869231E-11 -0.46101383E-11
    1    4   -0.47961423E-10  0.20228801E-10
    2    4   -0.10877322E-10  0.67847121E-12
    3    4   -0.18490534E-10  0.50661584E-11
    4    4    0.94057121E-05 -0.38861492E-12
    5    4   -0.15677248E-04 -0.15252643E-11
    1    5    0.48298137E-10 -0.25536077E-10
    2    5    0.30412743E-11 -0.22089704E-10
    3    5    0.43042759E-10 -0.78838226E-11
    4    5   -0.13170700E-04  0.18423457E-12
    5    5    0.94057121E-05 -0.36439384E-12

  -15    9    0
    1    1    0.30075290E-08 -0.31571967E-14
    2    1   -0.10926731E-08 -0.30637819E-13
    3    1   -0.47677571E-09 -0.18208525E-13
    4    1    0.14965780E-10 -0.24047563E-10
    5    1   -0.13648903E-10  0.31116363E-10
    1    2   -0.40394129E-09  0.23384072E-14
    2    2    0.62692221E-09  0.73656359E-14
    3    2    0.99373575E-09 -0.10565333E-13
    4    2   -0.19940015E-10  0.23611440E-10
    5    2    0.15313821E-11  0.40543066E-11
    1    3   -0.13260451E-08  0.39219496E-13
    2    3    0.79978448E-09 -0.63577615E-15
    3    3    0.62347962E-09  0.43090531E-14
    4    3    0.41672709E-12  0.61983493E-11
