 written on  4Sep2026 at 06:47:43 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
         795
    1    2    1    1    1    1    2    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    2    1    1    1    1    2    1

  -18    9    0
    1    1    0.21261082E-08 -0.11116108E-13
    2    1   -0.45811465E-09 -0.24854251E-13
    3    1   -0.45811542E-09 -0.14779844E-14
    4    1    0.13091689E-12 -0.75846765E-13
    5    1   -0.12140922E-12  0.13182648E-12
    1    2   -0.11338861E-09 -0.12256689E-13
    2    2    0.20396469E-08  0.44495657E-14
    3    2   -0.38711551E-09  0.41537954E-14
    4    2    0.61891968E-13 -0.10319288E-13
    5    2   -0.10455911E-12  0.89865710E-13
    1    3   -0.11339434E-09  0.31034203E-14
    2    3   -0.38710537E-09 -0.94420999E-14
    3    3    0.20396618E-08  0.20721272E-13
    4    3   -0.41442132E-13 -0.25861244E-13
    5    3   -0.69154736E-14 -0.16350756E-12
    1    4    0.12648684E-12  0.10733040E-12
    2    4   -0.28812911E-15 -0.16935992E-12
    3    4   -0.29165154E-12  0.28652502E-12
    4    4   -0.53305045E-05  0.82755764E-12
    5    4    0.62290915E-05 -0.78572912E-12
    1    5    0.12311473E-12  0.34822078E-13
    2    5    0.42184994E-13  0.94828420E-13
    3    5    0.25841033E-12 -0.18679424E-12
    4    5   -0.62793472E-05  0.19836563E-12
    5    5   -0.53305048E-05  0.78550144E-12

  -18   10    0
    1    1    0.19401135E-08 -0.40627224E-14
    2    1   -0.69667015E-10 -0.32196468E-14
    3    1   -0.38714210E-09 -0.33986702E-13
    4    1    0.90184185E-13  0.18125775E-13
    5    1   -0.13175036E-12  0.85044882E-13
    1    2   -0.69615417E-10  0.38436268E-13
    2    2    0.19401237E-08  0.18384599E-13
    3    2   -0.38712547E-09  0.22151551E-13
    4    2   -0.20291667E-13  0.94927424E-13
    5    2    0.93354693E-13 -0.24886903E-13
    1    3    0.22301766E-09  0.42812975E-14
    2    3    0.22296851E-09  0.14412083E-13
    3    3    0.56455740E-09 -0.41126824E-13
    4    3   -0.22544933E-12  0.13822686E-12
    5    3    0.27160882E-12  0.41325619E-13
    1    4   -0.41971340E-13  0.60834140E-13
    2    4   -0.18256912E-12  0.15227316E-12
    3    4   -0.10489742E-12  0.83423855E-14
    4    4    0.63564951E-05 -0.52162137E-12
    5    4    0.62290830E-05 -0.29630118E-12
    1    5    0.82206654E-14  0.15970966E-12
    2    5    0.27484356E-12 -0.39771079E-12
    3    5   -0.22750603E-12  0.15566782E-12
    4    5    0.13399187E-05  0.57506083E-12
    5    5    0.63564949E-05 -0.61863925E-12

  -17    7    0
    1    1   -0.22168632E-08  0.95687347E-14
    2    1    0.22296931E-09  0.13157010E-13
    3    1    0.79497096E-09 -0.76882944E-14
    4    1   -0.19305397E-12  0.99779817E-13
    5    1   -0.11303715E-12 -0.10745222E-12
    1    2    0.12035042E-08  0.72658893E-14
    2    2    0.37778636E-10 -0.14091159E-13
    3    2    0.17394503E-09 -0.20287591E-14
    4    2    0.14895655E-13  0.30483864E-12
    5    2    0.73058003E-14 -0.16484770E-12
    1    3   -0.90234177E-09 -0.40766002E-15
    2    3    0.81508001E-09  0.21758637E-13
    3    3   -0.93267652E-09 -0.17486013E-14
    4    3   -0.42520006E-13  0.22252236E-12
    5    3   -0.41047431E-13 -0.27571695E-12
    1    4   -0.55747383E-14 -0.56022127E-12
    2    4    0.79711836E-13 -0.35671599E-12
    3    4    0.24383171E-12  0.56353849E-13
    4    4   -0.50914480E-05  0.76309618E-13
    5    4    0.64966410E-06  0.69856100E-12
    1    5   -0.24956715E-13  0.33175888E-12
    2    5    0.63881403E-13  0.44752290E-12
